#State;2015;2014;2013;2012;2011
ALABAMA;484;579;645;632;674
ALASKA;106;122;132;145;141
ARIZONA;728;903;1118;1131;1095
ARKANSAS;278;343;465;476;492
CALIFORNIA;3317;4767;6500;6710;6726
COLORADO;433;543;729;751;760
CONNECTICUT;211;245;333;322;309
DELAWARE;54;72;83;80;84
FLORIDA;2662;3245;3853;3816;3911
GEORGIA;1388;1568;1846;1792;1883
HAWAII;55;72;91;92;94
IDAHO;180;219;257;255;259
ILLINOIS;900;1238;1618;1622;1659
INDIANA;628;776;903;920;931
IOWA;155;189;248;254;269
KANSAS;261;291;348;356;355
KENTUCKY;261;366;616;595;618
LOUISIANA;546;672;751;760;784
MAINE;111;134;147;135;140
MARYLAND;389;463;593;598;598
MASSACHUSETTS;189;219;247;254;277
MICHIGAN;597;837;1072;1114;1150
MINNESOTA;245;317;440;425;467
MISSISSIPPI;372;424;500;498;516
MISSOURI;583;694;773;801;807
MONTANA;119;143;165;178;180
NEBRASKA;154;179;209;206;207
NEVADA;351;427;570;603;589
NEW HAMPSHIRE;83;120;140;139;137
NEW JERSEY;771;965;1160;1113;1139
NEW MEXICO;224;298;382;378;406
NEW YORK;1381;1697;2070;2103;2195
NORTH CAROLINA;1103;1276;1509;1582;1545
NORTH DAKOTA;57;57;73;69;65
OHIO;746;955;1258;1304;1354
OKLAHOMA;533;584;666;685;694
OREGON;280;383;571;576;602
PENNSYLVANIA;802;1065;1222;1225;1265
RHODE ISLAND;59;77;120;115;112
SOUTH CAROLINA;523;642;739;778;766
SOUTH DAKOTA;86;82;93;94;96
TENNESSEE;667;776;887;882;923
TEXAS;4615;5047;5748;5762;5790
UTAH;311;366;402;409;426
VERMONT;24;31;45;40;41
VIRGINIA;746;884;991;1000;983
WASHINGTON;468;643;960;945;953
WEST VIRGINIA;108;156;255;264;272
WISCONSIN;323;418;518;506;507
WYOMING;66;69;77;87;86
